iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,stringency_index,total_cases,stringency_index
SGP,Asia,Singapore,1/3/2020,106,4,2.429,0,0,0,19.437,0.733,0.445,0,0,0,0.56,0,0,0,0,30.56,106,30.56
SGP,Asia,Singapore,2/3/2020,108,2,2.714,0,0,0,19.803,0.367,0.498,0,0,0,0.54,0,0,0,0,30.56,108,30.56
SGP,Asia,Singapore,3/3/2020,110,2,2.714,0,0,0,20.17,0.367,0.498,0,0,0,0.53,0,0,0,0,30.56,110,30.56
SGP,Asia,Singapore,4/3/2020,110,0,2.429,0,0,0,20.17,0,0.445,0,0,0,0.57,0,0,0,0,30.56,110,30.56
SGP,Asia,Singapore,5/3/2020,117,7,3.429,0,0,0,21.454,1.284,0.629,0,0,0,0.73,0,0,0,0,30.56,117,30.56
SGP,Asia,Singapore,6/3/2020,130,13,5.286,0,0,0,23.837,2.384,0.969,0,0,0,0.85,0,0,0,0,30.56,130,30.56
SGP,Asia,Singapore,7/3/2020,138,8,5.143,0,0,0,25.304,1.467,0.943,0,0,0,0.94,0,0,0,0,30.56,138,30.56
SGP,Asia,Singapore,8/3/2020,150,12,6.286,0,0,0,27.505,2.2,1.153,0,0,0,1.02,0,0,0,0,30.56,150,30.56
SGP,Asia,Singapore,9/3/2020,150,0,6,0,0,0,27.505,0,1.1,0,0,0,1.04,0,0,0,0,30.56,150,30.56
SGP,Asia,Singapore,10/3/2020,160,10,7.143,0,0,0,29.338,1.834,1.31,0,0,0,1.16,0,0,0,0,30.56,160,30.56
SGP,Asia,Singapore,11/3/2020,178,18,9.714,0,0,0,32.639,3.301,1.781,0,0,0,1.25,0,0,0,0,30.56,178,30.56
SGP,Asia,Singapore,12/3/2020,178,0,8.714,0,0,0,32.639,0,1.598,0,0,0,1.29,0,0,0,0,30.56,178,30.56
SGP,Asia,Singapore,13/3/2020,200,22,10,0,0,0,36.673,4.034,1.834,0,0,0,1.46,0,0,0,0,36.11,200,36.11
SGP,Asia,Singapore,14/3/2020,212,12,10.571,0,0,0,38.873,2.2,1.938,0,0,0,1.53,0,0,0,0,36.11,212,36.11
SGP,Asia,Singapore,15/3/2020,226,14,10.857,0,0,0,41.441,2.567,1.991,0,0,0,1.63,0,0,0,0,36.11,226,36.11
SGP,Asia,Singapore,16/3/2020,243,17,13.286,0,0,0,44.558,3.117,2.436,0,0,0,1.75,0,0,0,0,36.11,243,36.11
SGP,Asia,Singapore,17/3/2020,266,23,15.143,0,0,0,48.775,4.217,2.777,0,0,0,1.87,0,0,0,0,36.11,266,36.11
SGP,Asia,Singapore,18/3/2020,313,47,19.286,0,0,0,57.393,8.618,3.536,0,0,0,1.96,0,0,0,0,36.11,313,36.11
SGP,Asia,Singapore,19/3/2020,345,32,23.857,0,0,0,63.261,5.868,4.375,0,0,0,1.91,0,0,0,0,36.11,345,36.11
SGP,Asia,Singapore,20/3/2020,385,40,26.429,0,0,0,70.596,7.335,4.846,0,0,0,1.84,0,0,0,0,36.11,385,36.11
SGP,Asia,Singapore,21/3/2020,432,47,31.429,2,2,0.286,79.214,8.618,5.763,0.367,0.367,0.052,1.8,0,0,0,0,36.11,432,36.11
SGP,Asia,Singapore,22/3/2020,455,23,32.714,2,0,0.286,83.431,4.217,5.999,0.367,0,0.052,1.73,0,0,0,0,36.11,455,36.11
SGP,Asia,Singapore,23/3/2020,509,54,38,2,0,0.286,93.333,9.902,6.968,0.367,0,0.052,1.74,0,0,0,0,36.11,509,36.11
SGP,Asia,Singapore,24/3/2020,558,49,41.714,2,0,0.286,102.318,8.985,7.649,0.367,0,0.052,1.69,0,0,0,0,36.11,558,36.11
SGP,Asia,Singapore,25/3/2020,631,73,45.429,2,0,0.286,115.703,13.386,8.33,0.367,0,0.052,1.62,0,0,0,0,36.11,631,36.11
SGP,Asia,Singapore,26/3/2020,683,52,48.286,2,0,0.286,125.238,9.535,8.854,0.367,0,0.052,1.52,0,0,0,0,36.11,683,36.11
SGP,Asia,Singapore,27/3/2020,732,49,49.571,2,0,0.286,134.223,8.985,9.09,0.367,0,0.052,1.44,0,0,0,0,36.11,732,36.11
SGP,Asia,Singapore,28/3/2020,802,70,52.857,2,0,0,147.059,12.836,9.692,0.367,0,0,1.4,0,0,0,0,36.11,802,36.11
SGP,Asia,Singapore,29/3/2020,844,42,55.571,3,1,0.143,154.76,7.701,10.19,0.55,0.183,0.026,1.34,0,0,0,0,36.11,844,36.11
SGP,Asia,Singapore,30/3/2020,879,35,52.857,3,0,0.143,161.178,6.418,9.692,0.55,0,0.026,1.3,0,0,0,0,36.11,879,36.11
SGP,Asia,Singapore,31/3/2020,926,47,52.571,3,0,0.143,169.796,8.618,9.64,0.55,0,0.026,1.32,0,0,0,0,36.11,926,36.11
SGP,Asia,Singapore,1/4/2020,1000,74,52.714,3,0,0.143,183.365,13.569,9.666,0.55,0,0.026,1.35,0,0,0,0,36.11,1000,36.11
SGP,Asia,Singapore,2/4/2020,1049,49,52.286,4,1,0.286,192.35,8.985,9.587,0.733,0.183,0.052,1.37,0,0,0,0,36.11,1049,36.11
SGP,Asia,Singapore,3/4/2020,1114,65,54.571,5,1,0.429,204.269,11.919,10.006,0.917,0.183,0.079,1.46,0,0,0,0,45.37,1114,45.37
SGP,Asia,Singapore,4/4/2020,1189,75,55.286,6,1,0.571,218.021,13.752,10.137,1.1,0.183,0.105,1.57,0,0,0,0,45.37,1189,45.37
SGP,Asia,Singapore,5/4/2020,1309,120,66.429,6,0,0.429,240.025,22.004,12.181,1.1,0,0.079,1.69,0,0,0,0,45.37,1309,45.37
SGP,Asia,Singapore,6/4/2020,1375,66,70.857,6,0,0.429,252.127,12.102,12.993,1.1,0,0.079,1.73,0,0,0,0,45.37,1375,45.37
SGP,Asia,Singapore,7/4/2020,1481,106,79.286,6,0,0.429,271.564,19.437,14.538,1.1,0,0.079,1.83,0,0,0,0,62.04,1481,62.04
SGP,Asia,Singapore,8/4/2020,1623,142,89,6,0,0.429,297.602,26.038,16.319,1.1,0,0.079,1.95,0,0,0,0,76.85,1623,76.85
SGP,Asia,Singapore,9/4/2020,1910,287,123,6,0,0.286,350.227,52.626,22.554,1.1,0,0.052,2.08,0,0,0,0,76.85,1910,76.85
SGP,Asia,Singapore,10/4/2020,2108,198,142,7,1,0.286,386.534,36.306,26.038,1.284,0.183,0.052,2.04,0,0,0,0,82.41,2108,82.41
SGP,Asia,Singapore,11/4/2020,2299,191,158.571,8,1,0.286,421.556,35.023,29.076,1.467,0.183,0.052,2.03,0,0,0,0,76.85,2299,76.85
SGP,Asia,Singapore,12/4/2020,2532,233,174.714,8,0,0.286,464.28,42.724,32.037,1.467,0,0.052,2.08,0,0,0,0,76.85,2532,76.85
SGP,Asia,Singapore,13/4/2020,2918,386,220.429,9,1,0.429,535.059,70.779,40.419,1.65,0.183,0.079,2.15,0,0,0,0,76.85,2918,76.85
